g111	g112	g113	g121	g122	g123	g131	g132	g133	g14	g15	g211	g212	g213	g214	g215	g216	g217	g218	g219	g2110	g22	g23	g24	g25	g26	g3	
0 1	2 3	3 4	3 4	4 7	8 12	2 3	0 0	4 6	0 1	1	19 28	0	2	31	1	27	1145	16	3	5	3 4	0 1	3 4	3 4	3 4	271642 407463	
0 0	0 1	0 1	8 12	4 7	4 6	0 1	1 2	5 8	3 4	0	1 2	32	58	139	6	50	12389	7	1	3	3 4	1 2	3 4	0 1	0 1	80000 120000	
1 2	3 4	0 0	5 8	1 2	7 10	0 0	0 1	5 8	1 2	1	21 32	16	37	72	4	17	6337	12	3	3	4 6	4 6	4 6	2 3	3 4	271980 407970	
0 1	2 3	3 4	0 1	1 2	7 10	3 4	0 0	2 3	3 4	1	21 32	50	99	200	10	34	19573	4	5	1	3 4	1 2	2 3	2 3	4 6	291165 436748	
3 4	2 3	0 1	5 8	8 12	8 12	2 3	0 0	1 2	0 1	1	17 26	46	79	161	9	40	16357	5	4	2	3 4	0 1	0 1	0 1	3 4	231068 346603	
0 1	2 3	0 1	8 12	2 3	6 9	2 3	3 4	4 6	4 6	1	20 30	0	4	10	0	29	664	13	4	5	4 6	0 1	3 4	3 4	3 4	281589 422384	
0 0	1 2	0 1	6 9	7 10	4 6	3 4	0 0	4 6	4 6	0	8 12	46	80	188	9	11	17236	20	3	2	4 6	1 2	4 6	2 3	1 2	146266 219399	
2 3	3 4	3 4	3 4	1 2	6 9	0 1	0 0	6 9	0 1	1	18 27	41	71	149	7	49	14367	12	3	5	1 2	1 2	4 6	2 3	3 4	279884 419826	
1 2	2 3	0 1	8 12	6 9	2 3	4 6	3 4	1 2	2 3	0	3 4	38	63	138	8	35	13611	18	4	3	1 2	1 2	4 6	4 6	0 1	80000 120000	
2 3	0 0	3 4	2 3	3 4	6 9	2 3	3 4	0 1	0 1	0	11 16	45	80	151	8	13	16848	15	3	2	3 4	1 2	4 6	4 6	1 2	108408 162612	
3 4	3 4	0 0	3 4	8 12	2 3	4 6	1 2	4 6	1 2	1	18 27	50	99	177	10	38	19430	4	4	4	2 3	0 1	3 4	1 2	3 4	268844 403267	
2 3	2 3	1 2	3 4	2 3	5 8	0 0	3 4	5 8	4 6	1	12 19	32	65	129	6	49	14032	8	1	4	1 2	0 1	3 4	1 2	2 3	191304 286956	
3 4	2 3	3 4	6 9	4 6	7 10	0 0	1 2	1 2	4 6	1	19 28	17	38	69	3	47	6990	13	1	4	3 4	3 4	2 3	4 6	3 4	230362 345543	
0 0	3 4	2 3	5 8	1 2	4 6	0 1	0 1	3 4	3 4	0	6 9	34	80	138	7	23	15032	3	2	5	3 4	1 2	3 4	1 2	0 1	80000 120000	
0 1	0 0	1 2	5 8	8 12	6 9	0 1	2 3	4 7	1 2	1	21 32	45	95	200	10	13	19150	11	4	4	3 4	3 4	2 3	4 6	3 4	256723 385084	
0 0	3 4	1 2	3 4	3 4	6 9	0 0	3 4	6 9	2 3	0	10 15	30	54	129	6	37	11615	15	2	4	1 2	1 2	4 6	2 3	1 2	134533 201800	
3 4	2 3	1 2	4 6	5 8	1 2	1 2	0 1	6 9	4 6	1	20 31	44	73	155	9	36	15886	17	3	2	3 4	0 1	2 3	1 2	3 4	263320 394981	
2 3	0 1	3 4	8 12	4 7	0 1	4 6	1 2	5 8	3 4	0	1 2	10	9	53	2	29	3410	18	4	5	4 6	3 4	3 4	4 6	0 1	80000 120000	
3 4	1 2	0 1	6 9	5 8	0 1	4 6	3 4	3 4	4 6	1	21 32	29	70	117	6	48	12278	16	5	3	1 2	0 1	0 1	2 3	4 6	310565 465848	
3 4	2 3	0 0	4 6	5 8	4 6	1 2	2 3	1 2	1 2	1	18 27	33	83	159	8	36	14955	6	5	2	2 3	0 1	4 6	1 2	3 4	274228 411342	
