g111	g112	g113	g121	g122	g123	g131	g132	g133	g14	g15	g211	g212	g213	g214	g215	g216	g217	g218	g219	g2110	g22	g23	g24	g25	g26	g3
0 1	3 4	0 1	8 12	6 9	4 6	4 6	2 3	4 7	1 2	0 0	8 13	46 46	86 86	162 162	9 9	23 23	16385 16385	10 10	3 3	5 5	2 3	4 6	0 1	4 6	1 2	137780 206671	
0 0	3 4	0 0	7 10	1 2	8 12	2 3	3 4	2 3	4 6	1 1	21 32	40 40	71 71	137 137	8 8	3 3	15002 15002	10 10	2 2	4 4	0 1	1 2	1 2	1 2	4 6	320000 480000	
2 3	3 4	1 2	2 3	6 9	6 9	4 6	0 1	1 2	2 3	0 0	0 1	28 28	54 54	92 92	5 5	5 5	10359 10359	15 15	2 2	3 3	0 1	4 6	2 3	2 3	0 1	80314 120471	
0 0	3 4	0 0	5 8	4 6	8 12	0 0	2 3	0 1	4 6	1 1	15 22	38 38	60 60	150 150	6 6	28 28	13416 13416	0 0	1 1	3 3	3 4	4 6	3 4	2 3	2 3	184984 277476	
1 2	0 1	3 4	0 1	4 6	0 1	0 0	0 1	4 6	1 2	1 1	19 28	35 35	65 65	127 127	6 6	12 12	14084 14084	11 11	3 3	1 1	1 2	0 1	0 1	2 3	3 4	248500 372750	
2 3	0 0	2 3	0 1	1 2	2 3	0 1	0 0	6 9	3 4	0 0	13 20	17 17	46 46	76 76	5 5	18 18	8728 8728	6 6	2 2	1 1	4 6	3 4	3 4	2 3	1 2	110004 165006	
3 4	2 3	2 3	5 8	6 9	0 1	2 3	1 2	4 7	1 2	0 0	9 14	21 21	43 43	71 71	4 4	35 35	7810 7810	19 19	2 2	3 3	4 6	3 4	1 2	3 4	1 2	105002 157503	
0 1	3 4	1 2	7 10	4 7	6 9	4 6	0 1	5 8	1 2	0 0	4 6	13 13	18 18	35 35	3 3	26 26	4346 4346	13 13	5 5	1 1	2 3	3 4	4 6	2 3	0 1	80000 120000	
1 2	3 4	1 2	4 7	7 10	1 2	4 6	0 0	0 1	3 4	0 0	7 10	35 35	57 57	139 139	6 6	48 48	12248 12248	12 12	3 3	5 5	4 6	2 3	3 4	2 3	1 2	158468 237702	
1 2	2 3	0 0	0 1	4 7	3 4	4 6	3 4	3 4	4 6	0 0	6 9	42 42	80 80	166 166	7 7	19 19	15878 15878	3 3	1 1	4 4	0 1	2 3	4 6	4 6	1 2	97099 145648	
2 3	1 2	1 2	4 6	1 2	7 10	4 6	1 2	5 8	0 1	0 0	0 1	14 14	17 17	59 59	3 3	45 45	4736 4736	2 2	3 3	4 4	2 3	2 3	0 1	3 4	0 1	80000 120000	
0 1	1 2	2 3	2 3	1 2	8 12	1 2	0 0	3 4	1 2	1 1	21 32	14 14	35 35	75 75	2 2	32 32	5651 5651	19 19	1 1	4 4	0 1	1 2	0 1	4 6	4 6	320000 480000	
2 3	1 2	0 0	6 9	6 9	3 4	0 0	0 1	4 7	2 3	1 1	14 21	35 35	72 72	153 153	7 7	45 45	14464 14464	15 15	4 4	3 3	2 3	0 1	1 2	2 3	2 3	162524 243787	
2 3	3 4	3 4	7 10	3 4	7 10	2 3	1 2	6 9	1 2	0 0	0 1	19 19	40 40	75 75	4 4	31 31	9076 9076	1 1	2 2	5 5	0 1	2 3	4 6	4 6	0 1	80000 120000	
0 1	2 3	0 0	0 1	8 12	8 12	3 4	2 3	1 2	3 4	0 0	9 14	39 39	73 73	133 133	8 8	32 32	14381 14381	7 7	4 4	4 4	1 2	4 6	3 4	3 4	1 2	117312 175969	
1 2	2 3	2 3	2 3	8 12	6 9	3 4	0 0	1 2	3 4	1 1	12 19	3 3	10 10	36 36	2 2	43 43	2294 2294	0 0	2 2	2 2	1 2	4 6	1 2	3 4	2 3	165484 248226	
2 3	1 2	0 1	4 6	3 4	4 7	0 0	2 3	3 4	0 1	1 1	24 36	33 33	64 64	141 141	7 7	27 27	12146 12146	11 11	1 1	5 5	3 4	4 6	3 4	4 6	4 6	320000 480000	
3 4	2 3	0 0	6 9	4 7	0 1	1 2	1 2	4 6	0 1	1 1	21 32	23 23	55 55	106 106	5 5	29 29	9642 9642	13 13	2 2	2 2	3 4	4 6	3 4	0 1	3 4	237582 356373	
0 1	0 0	1 2	4 6	2 3	7 10	0 1	3 4	2 3	4 6	0 0	0 1	32 32	72 72	120 120	6 6	5 5	13018 13018	10 10	4 4	2 2	4 6	1 2	2 3	2 3	0 1	83212 124819	
2 3	1 2	1 2	3 4	4 6	4 6	0 1	2 3	5 8	4 6	1 1	16 25	24 24	45 45	95 95	3 3	26 26	7924 7924	1 1	1 1	3 3	2 3	4 6	1 2	0 1	3 4	270089 405134	
1 2	3 4	2 3	5 8	7 10	4 6	2 3	0 1	0 1	4 6	0 0	4 6	9 9	18 18	42 42	1 1	41 41	3678 3678	2 2	1 1	4 4	2 3	4 6	3 4	1 2	0 1	80380 120571	
0 1	1 2	0 0	7 10	1 2	3 4	3 4	2 3	0 1	0 1	1 1	15 22	33 33	73 73	132 132	8 8	6 6	15203 15203	17 17	1 1	5 5	1 2	0 1	2 3	1 2	2 3	162872 244309	
2 3	2 3	3 4	6 9	7 10	2 3	4 6	2 3	4 6	0 1	1 1	20 30	30 30	54 54	109 109	7 7	8 8	12623 12623	17 17	2 2	5 5	4 6	3 4	3 4	1 2	3 4	235414 353121	
0 0	0 1	3 4	4 6	1 2	0 1	0 1	0 1	6 9	1 2	1 1	16 25	44 44	81 81	191 191	9 9	47 47	17296 17296	12 12	5 5	2 2	1 2	2 3	2 3	3 4	3 4	287313 430970	
1 2	3 4	0 0	4 6	4 7	3 4	4 6	0 0	2 3	3 4	1 1	23 34	0 0	7 7	27 27	2 2	16 16	1353 1353	18 18	1 1	5 5	3 4	0 1	3 4	0 1	4 6	314143 471214	
0 0	0 1	2 3	4 7	3 4	4 7	0 0	1 2	5 8	1 2	0 0	6 9	36 36	84 84	157 157	8 8	35 35	15452 15452	1 1	4 4	3 3	3 4	1 2	3 4	0 1	0 1	80000 120000	
1 2	0 0	2 3	2 3	1 2	6 9	0 0	3 4	5 8	1 2	1 1	20 30	31 31	65 65	126 126	6 6	4 4	11490 11490	15 15	3 3	2 2	3 4	0 1	4 6	2 3	3 4	272076 408114	
0 0	0 0	3 4	0 1	8 12	3 4	3 4	0 0	5 8	1 2	1 1	23 34	15 15	50 50	84 84	5 5	3 3	8077 8077	18 18	4 4	1 1	0 1	1 2	2 3	0 1	4 6	320000 480000	
0 1	0 0	0 1	7 10	2 3	2 3	4 6	0 1	1 2	0 1	1 1	17 26	41 41	79 79	144 144	8 8	16 16	16336 16336	3 3	5 5	1 1	0 1	4 6	0 1	0 1	3 4	261692 392538	
3 4	1 2	2 3	1 2	4 7	7 10	0 0	2 3	3 4	4 6	1 1	22 33	24 24	40 40	65 65	4 4	29 29	7817 7817	18 18	5 5	5 5	2 3	2 3	4 6	3 4	4 6	312140 468211	
1 2	0 0	2 3	4 7	4 7	6 9	0 1	0 1	2 3	1 2	1 1	22 33	40 40	83 83	191 191	8 8	28 28	17285 17285	20 20	2 2	5 5	4 6	0 1	4 6	1 2	4 6	308519 462778	
1 2	3 4	0 1	8 12	5 8	8 12	3 4	1 2	0 1	3 4	0 0	7 10	9 9	18 18	52 52	2 2	8 8	5476 5476	15 15	5 5	1 1	1 2	2 3	4 6	2 3	1 2	146443 219664	
1 2	0 0	0 0	4 6	3 4	0 1	2 3	2 3	4 6	4 6	1 1	15 22	49 49	100 100	184 184	9 9	38 38	19337 19337	14 14	5 5	3 3	3 4	2 3	4 6	1 2	3 4	255004 382506	
0 1	2 3	0 0	4 6	8 12	1 2	1 2	0 1	3 4	1 2	0 0	6 9	21 21	32 32	71 71	4 4	15 15	6814 6814	5 5	4 4	5 5	0 1	3 4	0 1	3 4	0 1	80975 121462	
2 3	0 0	1 2	5 8	2 3	0 1	4 6	0 0	3 4	2 3	1 1	18 27	5 5	19 19	24 24	2 2	43 43	3028 3028	4 4	3 3	5 5	4 6	0 1	0 1	0 1	3 4	281300 421950	
1 2	0 0	2 3	1 2	8 12	8 12	1 2	0 1	2 3	1 2	0 0	8 12	12 12	29 29	69 69	3 3	2 2	6635 6635	19 19	4 4	1 1	4 6	2 3	3 4	3 4	0 1	80000 120000	
1 2	1 2	1 2	2 3	1 2	0 1	2 3	2 3	3 4	1 2	1 1	18 27	50 50	95 95	200 200	10 10	28 28	19343 19343	1 1	1 1	5 5	3 4	3 4	2 3	2 3	3 4	250252 375379	
0 0	1 2	2 3	2 3	1 2	4 7	3 4	3 4	1 2	2 3	0 0	2 3	14 14	42 42	80 80	4 4	1 1	7142 7142	5 5	2 2	3 3	1 2	2 3	2 3	2 3	0 1	80000 120000	
0 1	1 2	1 2	0 1	2 3	5 8	2 3	2 3	0 1	1 2	0 0	5 8	28 28	71 71	122 122	6 6	9 9	12723 12723	16 16	2 2	1 1	1 2	3 4	0 1	0 1	0 1	80000 120000	
3 4	2 3	1 2	8 12	6 9	2 3	0 1	2 3	3 4	0 1	0 0	6 9	23 23	48 48	88 88	4 4	17 17	7775 7775	3 3	2 2	2 2	0 1	2 3	1 2	0 1	1 2	143373 215060	
1 2	3 4	0 1	4 6	5 8	7 10	0 1	0 1	4 7	1 2	1 1	22 33	41 41	89 89	155 155	9 9	50 50	17491 17491	3 3	4 4	4 4	2 3	4 6	4 6	4 6	3 4	263692 395538	
2 3	0 0	0 0	4 6	3 4	6 9	2 3	1 2	3 4	1 2	1 1	23 34	44 44	86 86	175 175	8 8	15 15	16366 16366	3 3	1 1	3 3	3 4	0 1	2 3	1 2	4 6	306786 460179	
