	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189
1	1.0	0.0	0.5	0.56	0.33	0.5	0.07	0.54	0.0	0.0	0.49	0.33	0.36	0.0	0.43	0.0	0.46	0.5	0.51	0.47	0.5	0.5	0.48	0.44	0.0	0.0	0.5	0.47	0.56	0.47	0.0	0.5	0.5	0.32	0.55	0.5	0.47	0.46	0.0	0.5	0.4	0.11	0.5	0.44	0.5	0.5	0.65	0.0	0.49	0.5	0.0	0.5	0.48	0.0	0.41	0.14	0.5	0.5	0.56	0.5	0.0	0.03	0.61	0.11	0.47	0.0	0.0	0.4	0.38	0.07	0.0	0.0	0.0	0.35	0.53	0.0	0.26	0.33	0.0	0.48	0.5	0.0	0.48	0.63	0.5	0.47	0.0	0.5	0.0	0.5	0.0	0.48	0.5	0.48	0.0	0.34	0.5	0.5	0.5	0.35	0.4	0.5	0.0	0.44	0.5	0.5	0.31	0.48	0.5	0.5	0.47	0.0	0.23	0.0	0.0	0.47	0.4	0.52	0.32	0.47	0.5	0.55	0.5	0.5	0.5	0.0	0.47	0.0	0.5	0.5	0.48	0.0	0.5	0.39	0.56	0.16	0.67	0.46	0.5	0.5	0.44	0.5	0.14	0.0	0.48	0.4	0.0	0.47	0.53	0.47	0.0	0.0	0.0	0.0	0.52	0.5	0.5	0.5	0.0	0.0	0.5	0.5	0.0	0.27	0.5	0.54	0.0	0.26	0.56	0.32	0.49	0.0	0.33	0.44	0.29	0.5	0.0	0.53	0.0	0.0	0.5	0.56	0.5	0.0	0.47	0.27	0.0	0.08	0.42
2	0.38	1.0	0.47	0.33	0.37	0.21	0.36	0.47	0.47	0.47	0.0	0.37	0.13	0.5	0.43	0.47	0.13	0.0	0.0	0.33	0.33	0.38	0.33	0.0	0.5	0.47	0.47	0.47	0.47	0.0	0.13	0.33	0.33	0.61	0.33	0.21	0.0	0.47	0.5	0.33	0.33	0.5	0.47	0.13	0.33	0.47	0.33	0.38	0.47	0.5	0.13	0.38	0.0	0.47	0.33	0.32	0.33	0.26	0.33	0.38	0.5	0.42	0.47	0.63	0.33	0.47	0.5	0.47	0.0	0.38	0.46	0.5	0.13	0.13	0.38	0.47	0.47	0.13	0.38	0.5	0.33	0.56	0.33	0.0	0.33	0.47	0.47	0.21	0.47	0.33	0.44	0.33	0.33	0.24	0.5	0.33	0.33	0.63	0.48	0.33	0.17	0.63	0.47	0.44	0.47	0.0	0.44	0.47	0.47	0.47	0.13	0.56	0.5	0.5	0.47	0.44	0.0	0.47	0.47	0.47	0.13	0.05	0.47	0.33	0.47	0.47	0.26	0.47	0.18	0.47	0.33	0.38	0.33	0.47	0.0	0.33	0.17	0.43	0.33	0.03	0.44	0.13	0.03	0.6	0.33	0.44	0.44	0.33	0.47	0.47	0.5	0.38	0.5	0.44	0.47	0.33	0.45	0.47	0.47	0.5	0.0	0.33	0.5	0.4	0.0	0.33	0.44	0.26	0.47	0.33	0.47	0.47	0.47	0.12	0.33	0.0	0.5	0.21	0.47	0.33	0.33	0.47	0.33	0.5	0.0	0.47	0.47	0.38	0.44
3	0.47	0.0	1.0	0.13	0.31	0.5	0.0	0.47	0.0	0.0	0.47	0.33	0.29	0.0	0.3	0.0	0.46	0.33	0.47	0.32	0.47	0.28	0.48	0.47	0.0	0.0	0.5	0.5	0.5	0.34	0.0	0.38	0.44	0.3	0.47	0.37	0.44	0.46	0.0	0.53	0.33	0.11	0.47	0.27	0.26	0.5	0.5	0.0	0.49	0.47	0.0	0.33	0.26	0.0	0.41	0.0	0.47	0.3	0.37	0.5	0.0	0.0	0.5	0.13	0.3	0.0	0.0	0.24	0.26	0.07	0.0	0.0	0.0	0.26	0.47	0.0	0.26	0.24	0.0	0.33	0.3	0.0	0.47	0.18	0.47	0.39	0.0	0.0	0.0	0.47	0.0	0.47	0.5	0.26	0.0	0.47	0.35	0.61	0.47	0.17	0.44	0.48	0.0	0.31	0.54	0.35	0.5	0.4	0.41	0.36	0.47	0.0	0.23	0.0	0.0	0.26	0.4	0.5	0.32	0.47	0.5	0.52	0.4	0.26	0.5	0.0	0.27	0.0	0.47	0.5	0.48	0.0	0.47	0.26	0.0	0.16	0.37	0.42	0.47	0.63	0.26	0.5	0.3	0.0	0.26	0.4	0.0	0.47	0.33	0.33	0.0	0.0	0.0	0.0	0.51	0.49	0.5	0.5	0.0	0.0	0.43	0.26	0.0	0.27	0.29	0.47	0.0	0.26	0.49	0.3	0.5	0.0	0.5	0.3	0.2	0.52	0.0	0.5	0.0	0.0	0.47	0.46	0.47	0.0	0.34	0.4	0.0	0.07	0.42
4	0.41	0.0	0.41	1.0	0.33	0.0	0.0	0.45	0.0	0.0	0.4	0.24	0.26	0.0	0.34	0.0	0.37	0.47	0.43	0.45	0.5	0.43	0.5	0.3	0.0	0.0	0.5	0.3	0.5	0.4	0.0	0.36	0.36	0.3	0.5	0.5	0.36	0.38	0.0	0.42	0.19	0.03	0.44	0.33	0.3	0.32	0.5	0.0	0.4	0.5	0.0	0.33	0.39	0.0	0.32	0.5	0.4	0.62	0.5	0.54	0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.3	0.23	0.0	0.0	0.0	0.0	0.27	0.47	0.0	0.28	0.5	0.0	0.33	0.3	0.0	0.39	0.5	0.47	0.47	0.0	0.5	0.0	0.46	0.0	0.47	0.42	0.38	0.0	0.35	0.39	0.5	0.44	0.27	0.5	0.5	0.0	0.37	0.46	0.5	0.3	0.47	0.33	0.3	0.4	0.0	0.14	0.0	0.0	0.4	0.3	0.5	0.3	0.46	0.45	0.5	0.36	0.5	0.49	0.0	0.5	0.0	0.44	0.47	0.4	0.0	0.44	0.3	0.5	0.08	0.5	0.37	0.5	0.5	0.46	0.3	0.5	0.0	0.39	0.33	0.0	0.25	0.4	0.33	0.0	0.0	0.0	0.0	0.44	0.41	0.5	0.37	0.0	0.0	0.34	0.57	0.0	0.18	0.5	0.45	0.0	0.31	0.5	0.3	0.5	0.0	0.3	0.5	0.35	0.43	0.0	0.47	0.0	0.0	0.47	0.5	0.3	0.0	0.3	0.38	0.0	0.0	0.5
5	0.5	0.0	0.69	0.36	1.0	0.56	0.27	0.47	0.0	0.0	0.5	0.47	0.5	0.0	0.55	0.19	0.5	0.56	0.55	0.33	0.62	0.47	0.68	0.64	0.17	0.0	0.5	0.75	0.5	0.52	0.0	0.33	0.65	0.47	0.59	0.65	0.59	0.67	0.03	0.7	0.48	0.31	0.51	0.5	0.59	0.61	0.67	0.0	0.63	0.75	0.09	0.47	0.33	0.0	0.56	0.45	0.53	0.5	0.61	0.63	0.0	0.23	0.5	0.33	0.63	0.06	0.0	0.44	0.33	0.0	0.0	0.03	0.0	0.45	0.63	0.0	0.31	0.62	0.0	0.47	0.33	0.01	0.68	0.63	0.56	0.6	0.0	0.56	0.0	0.74	0.02	0.69	0.5	0.51	0.0	0.5	0.56	0.76	0.56	0.47	0.65	0.75	0.09	0.5	0.5	0.53	0.62	0.54	0.62	0.56	0.5	0.18	0.33	0.0	0.0	0.48	0.5	0.67	0.52	0.53	0.5	0.71	0.6	0.64	0.56	0.0	0.56	0.0	0.56	0.58	0.33	0.0	0.5	0.34	0.5	0.06	0.56	0.5	0.67	0.67	0.38	0.59	0.56	0.0	0.45	0.6	0.16	0.54	0.5	0.5	0.0	0.0	0.0	0.0	0.69	0.5	0.56	0.63	0.2	0.0	0.54	0.33	0.08	0.47	0.5	0.5	0.14	0.36	0.45	0.5	0.69	0.0	0.5	0.76	0.33	0.72	0.0	0.73	0.01	0.0	0.69	0.64	0.53	0.0	0.33	0.47	0.13	0.27	0.62
6	0.5	0.0	0.5	0.56	0.25	1.0	0.03	0.5	0.0	0.0	0.44	0.28	0.47	0.0	0.5	0.0	0.5	0.5	0.5	0.47	0.5	0.47	0.5	0.5	0.0	0.0	0.56	0.61	0.56	0.5	0.0	0.47	0.4	0.45	0.47	0.5	0.47	0.42	0.0	0.5	0.46	0.07	0.48	0.3	0.44	0.5	0.56	0.0	0.45	0.5	0.0	0.45	0.44	0.0	0.53	0.54	0.5	0.5	0.5	0.5	0.0	0.0	0.56	0.08	0.33	0.0	0.0	0.27	0.49	0.03	0.0	0.0	0.0	0.47	0.5	0.0	0.26	0.43	0.0	0.44	0.48	0.0	0.46	0.56	0.52	0.5	0.0	0.5	0.0	0.51	0.0	0.5	0.5	0.43	0.0	0.5	0.5	0.63	0.5	0.31	0.4	0.66	0.0	0.26	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.19	0.0	0.0	0.27	0.43	0.5	0.27	0.5	0.49	0.5	0.5	0.44	0.5	0.0	0.5	0.0	0.5	0.55	0.44	0.0	0.48	0.34	0.56	0.12	0.62	0.31	0.5	0.5	0.26	0.5	0.33	0.0	0.44	0.35	0.0	0.5	0.49	0.33	0.0	0.0	0.0	0.0	0.5	0.45	0.48	0.5	0.0	0.0	0.38	0.5	0.0	0.22	0.5	0.49	0.0	0.26	0.66	0.33	0.44	0.0	0.48	0.3	0.24	0.5	0.0	0.5	0.0	0.0	0.5	0.56	0.5	0.0	0.5	0.26	0.0	0.03	0.37
7	0.38	0.31	0.5	0.47	0.63	0.47	1.0	0.5	0.31	0.5	0.53	0.63	0.5	0.31	0.5	0.47	0.63	0.25	0.5	0.44	0.5	0.5	0.67	0.5	0.47	0.31	0.47	0.6	0.47	0.47	0.37	0.37	0.5	0.62	0.47	0.34	0.5	0.5	0.47	0.63	0.67	0.55	0.67	0.5	0.47	0.67	0.47	0.31	0.47	0.63	0.47	0.5	0.47	0.31	0.51	0.32	0.4	0.37	0.47	0.67	0.5	0.45	0.47	0.58	0.47	0.47	0.36	0.5	0.37	0.5	0.31	0.5	0.5	0.5	0.5	0.5	0.47	0.47	0.32	0.5	0.5	0.57	0.5	0.47	0.67	0.5	0.31	0.32	0.31	0.63	0.47	0.63	0.5	0.5	0.31	0.67	0.66	0.63	0.62	0.5	0.4	0.75	0.47	0.67	0.59	0.47	0.3	0.5	0.5	0.5	0.63	0.5	0.5	0.31	0.47	0.47	0.5	0.5	0.5	0.67	0.5	0.5	0.47	0.5	0.67	0.31	0.47	0.31	0.5	0.5	0.67	0.38	0.63	0.5	0.47	0.47	0.3	0.5	0.5	0.47	0.5	0.5	0.25	0.38	0.5	0.5	0.47	0.53	0.47	0.63	0.31	0.31	0.31	0.4	0.5	0.63	0.67	0.67	0.47	0.31	0.5	0.67	0.47	0.56	0.47	0.63	0.71	0.5	0.47	0.63	0.5	0.31	0.67	0.26	0.5	0.5	0.5	0.5	0.5	0.43	0.67	0.47	0.63	0.31	0.38	0.5	0.47	0.5	0.5
8	0.5	0.0	0.46	0.55	0.49	0.25	0.03	1.0	0.0	0.0	0.11	0.29	0.47	0.0	0.47	0.0	0.42	0.5	0.47	0.5	0.52	0.47	0.44	0.4	0.0	0.0	0.58	0.24	0.67	0.35	0.0	0.5	0.41	0.23	0.51	0.0	0.3	0.5	0.0	0.47	0.24	0.07	0.47	0.25	0.35	0.37	0.67	0.0	0.47	0.5	0.0	0.23	0.31	0.0	0.37	0.36	0.5	0.67	0.33	0.39	0.0	0.0	0.5	0.09	0.5	0.0	0.0	0.44	0.28	0.04	0.0	0.0	0.0	0.32	0.5	0.0	0.33	0.47	0.0	0.25	0.41	0.0	0.44	0.5	0.5	0.47	0.0	0.47	0.0	0.5	0.0	0.47	0.25	0.43	0.0	0.52	0.32	0.5	0.25	0.32	0.5	0.5	0.0	0.27	0.5	0.59	0.47	0.47	0.47	0.47	0.47	0.0	0.19	0.0	0.0	0.47	0.3	0.48	0.47	0.47	0.5	0.37	0.37	0.4	0.32	0.0	0.25	0.0	0.3	0.49	0.44	0.0	0.47	0.35	0.5	0.09	0.5	0.42	0.43	0.6	0.5	0.47	0.5	0.0	0.44	0.5	0.0	0.3	0.5	0.43	0.0	0.0	0.0	0.0	0.49	0.46	0.47	0.47	0.0	0.0	0.39	0.42	0.0	0.23	0.15	0.5	0.0	0.37	0.5	0.3	0.5	0.0	0.49	0.5	0.33	0.48	0.0	0.49	0.0	0.0	0.52	0.65	0.37	0.0	0.25	0.25	0.0	0.04	0.47
9	0.3	0.5	0.3	0.17	0.3	0.33	0.51	0.33	1.0	0.33	0.47	0.5	0.33	0.5	0.33	0.5	0.24	0.36	0.47	0.3	0.47	0.27	0.33	0.47	0.5	0.5	0.47	0.5	0.47	0.47	0.5	0.3	0.47	0.63	0.33	0.3	0.3	0.5	0.33	0.33	0.5	0.28	0.33	0.3	0.56	0.6	0.65	0.45	0.47	0.33	0.56	0.17	0.47	0.5	0.6	0.33	0.3	0.3	0.47	0.3	0.33	0.33	0.47	0.63	0.33	0.47	0.5	0.47	0.24	0.33	0.47	0.5	0.5	0.26	0.3	0.73	0.47	0.23	0.5	0.28	0.47	0.63	0.57	0.14	0.47	0.62	0.47	0.0	0.5	0.33	0.5	0.33	0.47	0.33	0.5	0.33	0.3	0.63	0.5	0.47	0.33	0.67	0.49	0.47	0.47	0.47	0.33	0.33	0.47	0.33	0.25	0.63	0.5	0.5	0.5	0.38	0.24	0.65	0.3	0.51	0.33	0.51	0.54	0.56	0.59	0.5	0.54	0.5	0.47	0.47	0.47	0.5	0.33	0.5	0.47	0.5	0.5	0.44	0.49	0.48	0.33	0.59	0.49	0.6	0.5	0.49	0.5	0.33	0.47	0.63	0.5	0.26	0.5	0.5	0.5	0.54	0.46	0.47	0.48	0.5	0.47	0.33	0.33	0.5	0.47	0.33	0.67	0.5	0.47	0.33	0.5	0.5	0.33	0.59	0.5	0.54	0.5	0.65	0.5	0.5	0.51	0.47	0.33	0.5	0.3	0.47	0.55	0.36	0.61
10	0.5	0.17	0.5	0.3	0.5	0.24	0.5	0.5	0.12	1.0	0.39	0.63	0.67	0.43	0.53	0.5	0.5	0.25	0.5	0.5	0.67	0.5	0.5	0.47	0.5	0.33	0.49	0.24	0.43	0.25	0.21	0.5	0.5	0.5	0.25	0.25	0.67	0.5	0.5	0.63	0.61	0.75	0.56	0.24	0.5	0.5	0.36	0.12	0.5	0.25	0.5	0.4	0.42	0.17	0.5	0.25	0.63	0.25	0.3	0.67	0.47	0.5	0.42	0.5	0.25	0.47	0.49	0.65	0.5	0.71	0.13	0.55	0.41	0.67	0.5	0.5	0.5	0.24	0.44	0.5	0.63	0.51	0.63	0.25	0.67	0.63	0.47	0.25	0.52	0.63	0.54	0.63	0.5	0.5	0.47	0.67	0.6	0.33	0.33	0.5	0.25	0.3	0.47	0.67	0.56	0.25	0.24	0.63	0.63	0.63	0.5	0.5	0.5	0.47	0.49	0.5	0.3	0.67	0.5	0.67	0.5	0.31	0.63	0.63	0.67	0.47	0.25	0.12	0.5	0.5	0.67	0.33	0.63	0.5	0.28	0.5	0.25	0.5	0.5	0.25	0.5	0.5	0.25	0.4	0.63	0.5	0.5	0.5	0.5	0.63	0.47	0.18	0.6	0.47	0.67	0.63	0.67	0.67	0.5	0.47	0.5	0.36	0.5	0.5	0.25	0.63	0.71	0.5	0.25	0.5	0.5	0.52	0.6	0.25	0.76	0.5	0.47	0.5	0.5	0.47	0.56	0.25	0.63	0.47	0.24	0.5	0.5	0.5	0.5
