g111	g112	g113	g121	g122	g123	g131	g132	g133	g14	g15	g211	g212	g213	g214	g215	g216	g217	g218	g219	g2110	g22	g23	g24	g25	g26	g3	
3 4	1 2	2 3	5 8	4 7	7 10	0 0	1 2	0 1	1 2	1	15 22	19	47	75	4	26	9040	12	5	1	2 3	0 1	2 3	0 1	3 4	243383 365074	
1 2	1 2	0 0	3 4	5 8	1 2	0 0	1 2	4 7	1 2	0	10 15	13	34	69	4	6	6808	14	1	2	0 1	3 4	2 3	2 3	1 2	121865 182798	
1 2	3 4	3 4	5 8	1 2	8 12	4 6	1 2	3 4	4 6	1	21 32	11	14	27	2	28	2869	17	2	5	4 6	3 4	4 6	4 6	4 6	313846 470769	
1 2	1 2	0 1	7 10	4 6	1 2	4 6	1 2	0 1	0 1	0	8 13	26	64	115	6	50	12034	4	1	5	2 3	1 2	1 2	4 6	1 2	154716 232075	
0 1	3 4	3 4	8 12	1 2	8 12	2 3	2 3	1 2	4 6	0	2 3	39	85	162	7	19	15933	14	5	4	1 2	3 4	1 2	2 3	0 1	95016 142525	
0 0	0 0	2 3	3 4	3 4	5 8	2 3	3 4	4 6	3 4	0	9 14	14	34	48	3	40	5116	13	5	2	0 1	0 1	1 2	2 3	1 2	113404 170106	
3 4	3 4	2 3	4 7	4 7	8 12	2 3	0 0	3 4	4 6	0	6 9	3	11	10	1	38	2183	0	1	5	1 2	3 4	3 4	0 1	0 1	80000 120000	
1 2	0 1	2 3	4 7	7 10	2 3	0 1	0 1	4 6	1 2	0	7 10	19	37	63	3	42	6301	9	1	2	4 6	1 2	0 1	0 1	1 2	154058 231087	
0 0	0 0	3 4	7 10	7 10	5 8	0 0	3 4	4 7	2 3	0	1 2	13	28	72	4	25	6202	0	1	2	4 6	1 2	2 3	4 6	0 1	80000 120000	
2 3	0 1	2 3	4 6	7 10	4 6	1 2	3 4	4 6	1 2	1	24 36	15	33	53	2	1	4676	18	2	4	2 3	0 1	0 1	0 1	4 6	320000 480000	
